source_path,lines,raw_copy,final_disposition,provisional_target,rationale
research/strategies/ema_pullback/execution/signals.py,323,yes,direct_port_candidate,src/strategy_engine/strategies/ema_pullback/evaluation/entries.py,bar-aligned strategy evaluation semantics
research/strategies/ema_pullback/execution/trade_analyzer.py,772,yes,bbb_only,BBB remains authoritative,"research orchestration, execution simulation, reports, metrics or analysis"
research/strategies/ema_pullback/execution/trade_runtime.py,964,yes,mixed_split,split after characterization; no one-to-one target yet,contains both strategy semantics and BBB execution/trace/report coupling
research/strategies/ema_pullback/features/__init__.py,18,yes,direct_port_candidate,src/strategy_engine/indicators/__init__.py,indicator planning/calculation semantics
research/strategies/ema_pullback/features/calculations.py,207,yes,direct_port_candidate,src/strategy_engine/indicators/calculations.py,indicator planning/calculation semantics
research/strategies/ema_pullback/features/plan.py,421,yes,direct_port_candidate,src/strategy_engine/indicators/plan.py,indicator planning/calculation semantics
research/strategies/ema_pullback/instance_loader.py,1381,yes,direct_port_candidate,src/strategy_engine/strategies/ema_pullback/config/loader.py,strategy specification/config semantics
research/strategies/ema_pullback/phase_rule_conditions/__init__.py,20,yes,direct_port_candidate,src/strategy_engine/strategies/ema_pullback/managed/phase_rule_conditions/__init__.py,managed policy semantics
research/strategies/ema_pullback/phase_rule_conditions/params.py,57,yes,direct_port_candidate,src/strategy_engine/strategies/ema_pullback/managed/phase_rule_conditions/params.py,managed policy semantics
research/strategies/ema_pullback/phase_rule_conditions/registry.py,312,yes,direct_port_candidate,src/strategy_engine/strategies/ema_pullback/managed/phase_rule_conditions/registry.py,managed policy semantics
research/strategies/ema_pullback/run.py,29,yes,bbb_only,BBB remains authoritative,"research orchestration, execution simulation, reports, metrics or analysis"
research/strategies/ema_pullback/setup_runtime.py,232,yes,direct_port_candidate,src/strategy_engine/strategies/ema_pullback/evaluation/setups.py,bar-aligned strategy evaluation semantics
research/strategies/ema_pullback/spec.py,1012,yes,direct_port_candidate,src/strategy_engine/strategies/ema_pullback/spec.py,strategy specification/config semantics
research/strategies/ema_pullback/spec_instances.py,160,yes,direct_port_candidate,src/strategy_engine/strategies/ema_pullback/config/instances.py,strategy specification/config semantics
research/strategies/ema_pullback/spec_report.py,477,yes,mixed_split,split after characterization; no one-to-one target yet,contains both strategy semantics and BBB execution/trace/report coupling
